,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,GACity,GAProduct name,GATransacionRevenue,Match GA-DB (commitment fees),City,Product_type,MatchProduct,Matched Revenue,Matched City
772,15-04-2017,1729396,21,11,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
773,15-04-2017,1729397,21,11,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
774,15-04-2017,1729398,21,11,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
878,17-04-2017,1729400,1,0,1,Gurgaon,New Droom Branded Helmet - Ascone,436,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
879,17-04-2017,1729401,1,0,1,Gurgaon,New Droom Branded Helmet - Ascone,428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
880,17-04-2017,1729402,1,0,1,Gurgaon,Maruti Alto 800 CNG LXI 2015,7748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
962,18-04-2017,1729409,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
963,18-04-2017,1729410,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
964,18-04-2017,1729411,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
965,18-04-2017,1729412,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
966,18-04-2017,1729414,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
967,18-04-2017,1729415,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
968,18-04-2017,1729416,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
969,18-04-2017,1729417,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
970,18-04-2017,1729418,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,882,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
971,18-04-2017,1729419,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,882,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
972,18-04-2017,1729420,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,882,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
973,18-04-2017,1729421,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
974,18-04-2017,1729422,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
975,18-04-2017,1729424,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
976,18-04-2017,1729425,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
977,18-04-2017,1729426,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
978,18-04-2017,1729427,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
979,18-04-2017,1729428,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
980,18-04-2017,1729429,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
981,18-04-2017,1729430,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
982,18-04-2017,1729431,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
983,18-04-2017,1729432,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
984,18-04-2017,1729433,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
985,18-04-2017,1729434,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14388,19-04-2017,1729436,16,8,1,Gurgaon,New Droom Branded Helmet - Ascone,514,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14389,19-04-2017,1729438,94,42,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14685,20-04-2017,1729440,10,1,1,Gurgaon,Auto Inspection - Bike Inspection,3595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14686,20-04-2017,1729440,12,2,1,Gurgaon,Auto Inspection - Bike Inspection,3595,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
