,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,transactionRevenue
48,02-04-2017,1980011,23,7,1,6000
49,02-04-2017,1980031,23,7,1,10500
50,02-04-2017,1980041,1,0,1,8200
51,02-04-2017,1980071,2,16,1,650
52,02-04-2017,1980131,3,0,1,5000
53,02-04-2017,1980161,3,0,1,5000
54,02-04-2017,1980181,3,0,1,5000
55,02-04-2017,1980201,1,0,1,1300
56,02-04-2017,1980211,14,72,1,7160
57,02-04-2017,1980221,3,0,1,5000
58,02-04-2017,1980231,3,0,1,5000
59,02-04-2017,1980241,3,0,1,10000
60,02-04-2017,1980251,53,29,1,12000
61,02-04-2017,1980271,3,0,1,10000
62,02-04-2017,1980281,3,0,1,10000
63,02-04-2017,1980291,38,34,1,52000
64,02-04-2017,1980321,3,0,1,10000
65,02-04-2017,1980401,38,34,1,87000
66,02-04-2017,1980431,2,9,1,10000
67,02-04-2017,1980561,4,0,1,3750
68,02-04-2017,1980591,40,34,1,65500
69,02-04-2017,1980621,3,1,1,19300
70,02-04-2017,1980631,3,1,1,549
71,02-04-2017,1980681,2,0,1,3000
72,02-04-2017,1980701,55,30,1,12000
73,02-04-2017,1980711,2,0,1,3250
74,02-04-2017,1980711,3,0,1,3250
75,02-04-2017,1980721,1,0,1,3200
76,02-04-2017,1980731,6,7,1,1000
77,02-04-2017,1980751,41,34,1,59500
78,02-04-2017,1980771,12,41,1,4500
91,03-04-2017,1980831,1,0,1,800
92,03-04-2017,1980931,53,138,1,56500
93,03-04-2017,1980941,3,0,1,99
94,03-04-2017,1980991,54,138,1,52500
95,03-04-2017,1981121,87,37,1,613
96,03-04-2017,1981131,87,37,1,663
97,03-04-2017,1981141,87,37,1,613
98,03-04-2017,1981151,1,0,1,800
99,03-04-2017,1981161,87,37,1,613
100,03-04-2017,1981171,1,0,1,7800
101,03-04-2017,1981331,4,4,1,775
102,03-04-2017,1981401,6,0,1,23000
103,03-04-2017,1981421,6,0,1,22000
104,03-04-2017,1981521,6,0,1,24000
105,03-04-2017,1981591,1,0,1,14000
106,03-04-2017,1981661,36,14,1,675
107,03-04-2017,1981711,2,0,1,713
108,03-04-2017,1981741,37,14,1,550
128,04-04-2017,1981821,84,36,1,750
129,04-04-2017,1981841,84,36,1,600
130,04-04-2017,1981851,84,36,1,425
131,04-04-2017,1981861,84,36,1,500
132,04-04-2017,1981891,3,0,1,350
133,04-04-2017,1982611,24,35,1,62000
134,04-04-2017,1982631,1,0,1,875
135,04-04-2017,1982781,24,118,1,550
136,04-04-2017,1982841,4,7,1,7400
137,04-04-2017,1982861,45,19,1,1800
138,04-04-2017,1982891,6,0,1,3000
139,04-04-2017,1982911,17,147,1,21000
140,04-04-2017,1982921,25,118,1,1375
141,04-04-2017,1982931,25,118,1,800
