"","transactionId","city","users","sessions","pageviews"
"407","1988491","Hyderabad",1,0,0
"408","1988501","Ahmedabad",1,0,0
"409","1988511","Ahmedabad",1,0,0
"410","1988531","Bengaluru",1,0,0
"411","1988541","Ahmedabad",1,0,0
"412","1988581","Mumbai",1,0,0
"413","1988591","Bengaluru",1,0,0
"414","1988661","New Delhi",1,0,0
"415","1988671","Bengaluru",1,0,0
"416","1988771","New Delhi",1,0,0
"417","1988821","(not set)",1,0,0
"418","1988851","Ahmedabad",1,0,0
"419","1988861","(not set)",1,0,0
"420","1989051","Ludhiana",1,0,0
"421","1989061","New Delhi",1,0,0
"422","1989181","Howrah",1,0,0
"423","1989211","Howrah",1,0,0
"424","1989261","Howrah",1,0,0
"425","1989311","Kolkata",1,0,0
"426","1989321","Pune",1,0,0
"427","1989351","Pune",1,0,0
"428","1989361","Kolkata",1,0,0
"429","1989391","Pune",1,0,0
"430","1989411","Mumbai",1,0,0
"431","1989421","Bengaluru",1,0,0
"432","1989431","Gurgaon",1,0,0
"433","1989471","Mumbai",1,0,0
"434","1989481","New Delhi",1,0,0
"435","1989491","Ahmedabad",1,0,0
"436","1989541","Ahmedabad",1,0,0
"437","1989571","Ahmedabad",1,0,0
"438","1989611","Pune",1,0,0
"439","1989681","Ahmedabad",1,0,0
"440","1989691","Ahmedabad",1,0,0
"441","1989701","Ahmedabad",1,0,0
"442","1989711","Mumbai",1,0,0
"443","1989741","Jaipur",1,0,0
"444","1990181","Ahmedabad",1,0,0
"445","1990221","Ahmedabad",1,0,0
"446","1990271","Ahmedabad",1,0,0
"447","1990411","Gurgaon",1,0,0
"448","1990521","Jaipur",1,0,0
"449","1990531","New Delhi",1,0,0
"450","1990541","New Delhi",1,0,0
"451","1990551","(not set)",1,0,0
"452","1990561","New Delhi",1,0,0
"453","1990571","(not set)",1,0,0
"454","1990581","New Delhi",1,0,0
"455","1990661","Pune",1,0,0
"456","1990951","New Delhi",1,0,0
"457","1990961","Bengaluru",1,0,0
"458","1990971","Bengaluru",1,0,0
"459","1990981","Gurgaon",1,0,0
"460","1990981","New Delhi",1,0,0
"461","1991031","Gurgaon",1,0,0
"462","1991051","Pune",1,0,0
"463","1991081","Noida",1,0,0
"464","1991101","New Delhi",1,0,0
"465","1991121","New Delhi",1,0,0
"466","1991131","Raipur",1,0,0
"467","1992741","New Delhi",1,0,0
"468","1992781","Bengaluru",1,0,0
"469","1992801","New Delhi",1,0,0
"470","1992811","New Delhi",1,0,0
"471","1992871","Bengaluru",1,0,0
"472","1992951","New Delhi",1,0,0
"473","1992971","Mumbai",1,0,0
"474","1992981","New Delhi",1,0,0
"475","1993041","Mumbai",1,0,0
"476","1993071","New Delhi",1,0,0
"477","1993101","Udaipur",1,0,0
"478","1993111","Udaipur",1,0,0
"479","1993141","Udaipur",1,0,0
