customer_id,gender,product_title,vehicle_type,make,model,trim,year,Price,city,login_count
20310471,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
20310471,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
20271541,unknown,"Audi A3 35 TDI TECHNOLOGY 2016","Premium / Super Car",audi,a3,"35 tdi technology",2016,2600000.00,Delhi,0
20310471,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
18640561,unknown,"Bajaj Pulsar 135cc 2011",Motorcycle/Bike,bajaj,pulsar,135cc,2016,24500.00,kupwara,0
20310471,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
20340171,unknown,"BSA Mach 22 2015",Bicycle,bsa,mach,22,2015,402000.00,Tiruvallur,0
20340171,unknown,"Willys Motor Willys M38 1951","Vintage Car","Willys Motor",Willys,M38,1951,402000.00,Tiruvallur,0
20340171,unknown,"BSA Mach 22 2015",Bicycle,bsa,mach,22,2015,2000.00,Tiruvallur,0
20340171,unknown,"Willys Motor Willys M38 1951","Vintage Car","Willys Motor",Willys,M38,1951,400000.00,Tiruvallur,0
20340171,unknown,"BSA Mach 22 2015",Bicycle,bsa,mach,22,2015,402000.00,Tiruvallur,0
20340171,unknown,"Willys Motor Willys M38 1951","Vintage Car","Willys Motor",Willys,M38,1951,402000.00,Tiruvallur,0
20340171,unknown,"BSA Mach 22 2015",Bicycle,bsa,mach,22,2015,2000.00,Tiruvallur,0
20340171,unknown,"Willys Motor Willys M38 1951","Vintage Car","Willys Motor",Willys,M38,1951,400000.00,Tiruvallur,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,110000.00,Delhi,0
20278711,unknown,"Jaguar XJ 3.0 DIESEL PORTFOLIO 2011","Premium / Super Car",jaguar,xj,"3.0 diesel portfolio",2011,4350000.00,Jaipur,0
20338891,unknown,"Honda CB Twister 109cc 2011",Motorcycle/Bike,honda,"cb twister",109cc,2011,24000.00,Delhi,0
17591331,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
17591331,unknown,"Gift Certificate",,,,,0,10000.00,delhi,0
17591331,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
17591331,unknown,"Gift Certificate",,,,,0,5000.00,delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,235000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS IV 2012",Car,"maruti suzuki",omni,"8 seater bs iv",2012,235000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,110000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS IV 2012",Car,"maruti suzuki",omni,"8 seater bs iv",2012,125000.00,Delhi,0
20341171,unknown,"Hero Hunk 150cc 2011",Motorcycle/Bike,hero,hunk,150cc,2011,23000.00,Delhi,0
19030941,unknown,"Suzuki  Access 125cc 2013",Scooter,suzuki,access,125cc,2013,25000.00,Hyderabad,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,235000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS IV 2012",Car,"maruti suzuki",omni,"8 seater bs iv",2012,235000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,110000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS IV 2012",Car,"maruti suzuki",omni,"8 seater bs iv",2012,125000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,235000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS IV 2012",Car,"maruti suzuki",omni,"8 seater bs iv",2012,235000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS III 2009",Car,"maruti suzuki",omni,"8 seater bs iii",2009,110000.00,Delhi,0
20135501,unknown,"Maruti Suzuki Omni 8 SEATER BS IV 2012",Car,"maruti suzuki",omni,"8 seater bs iv",2012,125000.00,Delhi,0
20313881,unknown,"KTM Duke 390cc 2017","Super Bike",ktm,duke,390cc,2017,150000.00,howrah,0
20248161,unknown,"Yamaha Fazer 150 2010",Motorcycle/Bike,yamaha,fazer,150,2010,33000.00,Narasinghpur,0
20346451,unknown,"Honda Navi 110cc 2017",Scooter,honda,navi,110cc,2017,38000.00,Delhi,0
20283531,unknown,"BMW 3 Series 320D LUXURY LINE 2014","Premium / Super Car",bmw,"3 series","320d luxury line",2014,3275000.00,Delhi,0
20343591,unknown,"Hero Splendor 100cc 2015",Motorcycle/Bike,hero,splendor,100cc,2015,42000.00,Delhi,0
20346451,unknown,"Honda Navi 110cc 2017",Scooter,honda,navi,110cc,2017,38000.00,Delhi,0
20347841,unknown,"Mahindra TUV300 T8 AMT 2016",Car,mahindra,tuv300,"t8 amt",2016,965000.00,ghaziabad,0
20347841,unknown,"Auto Inspection - Extensive Car Inspection","Auto Inspection",,,,,549.00,ghaziabad,0
20347531,unknown,"Honda CBF Stunner 125cc 2014",Motorcycle/Bike,honda,"cbf stunner",125cc,2014,3200.00,Delhi,0
20347531,unknown,"Honda CBF Stunner 125cc 2014",Motorcycle/Bike,honda,"cbf stunner",125cc,2014,3200.00,Delhi,0
20347531,unknown,"Honda CBF Stunner 125cc 2014",Motorcycle/Bike,honda,"cbf stunner",125cc,2014,3200.00,Delhi,0
19945821,unknown,"Honda Activa 109 2014",Scooter,honda,activa,109,2014,42000.00,pune,0
20243771,unknown,"Hyundai Santro Xing XL 2007",Car,hyundai,"santro xing",xl,2007,150000.00,ghaziabad,0
19945821,unknown,"Honda Activa 109 2014",Scooter,honda,activa,109,2014,42000.00,pune,0
20345551,unknown,"Toyota Innova 2.5 G 2009",Car,toyota,innova,"2.5 g",2009,600000.00,ghaziabad,0
20351331,unknown,"Royal Enfield Classic 350cc 2015",Motorcycle/Bike,"royal enfield",classic,350cc,2015,130000.00,bangalore,0
20253841,unknown,"Royal Enfield Thunderbird 500cc 2016",Motorcycle/Bike,"royal enfield",thunderbird,500cc,2016,128000.00,delhi,0
