GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
713,1,Chrome,none,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,98,48,0
600,0,Chrome,none,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,1,0
1400,0,Chrome,none,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,9,5,0
1700,0,Safari,Apple,Returning Visitor,19,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,26,130,0
44000,0,Chrome,none,Returning Visitor,23,Friday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,24,6,0
18000,0,Chrome,none,Returning Visitor,0,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,25,6,0
30000,0,Chrome,none,Returning Visitor,0,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,25,6,0
77000,7,Chrome,none,Returning Visitor,10,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,8,0
17900,0,Chrome,none,New Visitor,11,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
5800,1,Chrome,none,Returning Visitor,11,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,1,0
120000,0,Chrome,none,Returning Visitor,11,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,19,22,0
35000,0,Chrome,none,Returning Visitor,13,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,28,6,0
21000,0,Chrome,none,Returning Visitor,13,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,29,114,0
46000,4,Chrome,none,Returning Visitor,13,Saturday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,28,62,0
